post_number,voice,rationale
1,Storyteller,Personal CFO anecdotes & lessons; first-person arc.
2,Opinionator,Sharp industry take and prescriptive actions; contrarian tone.
3,Opinionator,Advocacy + viewpoint on allocations and equity (opinionated).
4,Fact Presenter,Data + policy explanation about GST on basic food items.
5,F-Bomber,"Blunt consumer call-out and urgent tone (watch out, this hurts people)."
6,Fact Presenter,Factual ITAT case summary and legal takeaway.
7,Storyteller,Personal relocation story with step-by-step narrative.
8,Fact Presenter,Tax-optimization how-to with mechanics and numbers.
9,F-Bomber,"Urgent fraud expose + stark penalties (alarmist, blunt)."
10,Storyteller,Relatable anecdote about CA expectations at family functions.
11,Frameworker,Prescriptive playbook for founder finances (step sequence).
12,Opinionator,Provocative business contrarian (delete products → results).
13,Frameworker,Concrete GA4 audit template (step-by-step tool).
14,Frameworker,Strategic audit offer + process for uncovering root causes.
15,Fact Presenter,"Pragmatic, itemized reasons (stamp duty, loans, tax)."
16,Fact Presenter,List of manufacturing facts and stats (informative).
17,Fact Presenter,Explanation of H1B system change and implications.
18,Opinionator,Macro POV on long-term national opportunity (interpretive).
19,Frameworker,Finance rule (Rule of 72) presented as decision framework.
20,Fact Presenter,Clear explainer of reverse mortgage mechanics.
21,Fact Presenter,DSIR R&D benefits + eligibility checklist (procedural facts).
22,Fact Presenter,Tax fraud recap + compliance checklist.
23,Fact Presenter,Crypto-filing mistakes & technical tax rules (how-to avoid).
24,Storyteller,Personal confession about studying crypto (curiosity narrative).
25,Fact Presenter,Senior-citizen card benefits & state details (useful list).
26,Fact Presenter,"Grant scheme details (dates, eligibility, application steps)."
27,Fact Presenter,Government export plan & tactical implications for business.
28,Frameworker,Succession planning options presented as a decision matrix.
29,Fact Presenter,Tariffs → trade impact analysis; mitigation suggestions.
30,Storyteller,Cultural anecdote (fake wedding trend) framed as narrative.
31,Frameworker,Viral template: achievable actions → results (ready blueprint).
32,Frameworker,Profile + practical tips template (how-to profile post).
33,Storyteller,Reflective long-form outline (builds to a reveal).
34,Storyteller,'I grew up here' origin story template (personal arc).
35,Storyteller,'Once upon a time' narrative structure for a lesson.
36,Frameworker,Fact → consequence → actionable tips structure (teaching).
37,Frameworker,'Don't do X; do Y' playbook (ineffective vs effective).
38,Storyteller,Launch narrative with emotional build and invite.
39,Storyteller,Failure → comeback case study (personal resilience).
40,Frameworker,Skill progression ladder (Amateur → Expert framework).
41,Storyteller,Timeline journey / gratitude post format.
42,Frameworker,Daily action repeatable steps template (how to get results).
43,Storyteller,Relationship/networking success story template.
44,Frameworker,Rule/Wisdom with practical actions (teaching rule).
45,Frameworker,Diagnostic post: common mistake → corrective steps.
46,Frameworker,Goal = methods + daily tasks (practical roadmap).
